Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Los Angeles Angels,AL West,60,26,34,0,0.433,0.46,4th of 5,10,,294,321,,28.5,27.4,45,25,A.Rendon (2.1),J.Maddon (26-34)
2019,Los Angeles Angels,AL West,162,72,90,0,0.444,0.445,4th of 5,35,,769,868,"3,023,012",28.8,27,57,32,M.Trout (7.8),B.Ausmus (72-90)
2018,Los Angeles Angels,AL West,162,80,82,0,0.494,0.499,4th of 5,23,,721,722,"3,020,216",29.5,27.5,60,35,M.Trout (9.9),M.Scioscia (80-82)
2017,Los Angeles Angels,AL West,162,80,82,0,0.494,0.501,2nd of 5,21,,710,709,"3,019,585",29.9,29.1,55,31,A.Simmons (7.9),M.Scioscia (80-82)
2016,Los Angeles Angels,AL West,162,74,88,0,0.457,0.494,4th of 5,21,,717,727,"3,016,142",28.5,28.4,53,30,M.Trout (10.5),M.Scioscia (74-88)
2015,Los Angeles Angels,AL West,162,85,77,0,0.525,0.49,3rd of 5,3,,661,675,"3,012,765",28.7,28.3,51,25,M.Trout (9.6),M.Scioscia (85-77)
2014,Los Angeles Angels,AL West,162,98,64,0,0.605,0.593,1st of 5,--,Lost ALDS (3-0),773,630,"3,095,935",29.3,28.4,54,31,M.Trout (7.7),M.Scioscia (98-64)
2013,Los Angeles Angels,AL West,162,78,84,0,0.481,0.498,3rd of 5,18,,733,737,"3,019,505",27.8,29.1,49,26,M.Trout (8.9),M.Scioscia (78-84)
2012,Los Angeles Angels,AL West,162,89,73,0,0.549,0.542,3rd of 4,5,,767,699,"3,061,770",28.7,30.1,44,23,M.Trout (10.5),M.Scioscia (89-73)
2011,Los Angeles Angels,AL West,162,86,76,0,0.531,0.524,2nd of 4,10,,667,633,"3,166,321",28.9,28.4,43,21,J.Weaver (6.9),M.Scioscia (86-76)
2010,Los Angeles Angels,AL West,162,80,82,0,0.494,0.486,3rd of 4,10,,681,702,"3,250,814",29.7,28.3,46,21,J.Weaver (5.3),M.Scioscia (80-82)
2009,Los Angeles Angels,AL West,162,97,65,0,0.599,0.568,1st of 4,--,Lost ALCS (4-2),883,761,"3,240,386",29.6,28.6,46,25,C.Figgins (7.7),M.Scioscia (97-65)
2008,Los Angeles Angels,AL West,162,100,62,0,0.617,0.542,1st of 4,--,Lost ALDS (3-1),765,697,"3,336,747",29,27.6,41,19,E.Santana (5.0),M.Scioscia (100-62)
2007,Los Angeles Angels,AL West,162,94,68,0,0.58,0.553,1st of 4,--,Lost ALDS (3-0),822,731,"3,365,632",28.6,28.4,42,18,J.Lackey (6.2),M.Scioscia (94-68)
2006,Los Angeles Angels,AL West,162,89,73,0,0.549,0.521,2nd of 4,4,,766,732,"3,406,790",28.8,27.9,40,18,J.Weaver (4.7),M.Scioscia (89-73)
2005,Los Angeles Angels,AL West,162,95,67,0,0.586,0.576,1st of 4,--,Lost ALCS (4-1),761,643,"3,404,686",29.8,28.5,40,18,V.Guerrero (5.7),M.Scioscia (95-67)
2004,Los Angeles Angels,AL West,162,92,70,0,0.568,0.559,1st of 4,--,Lost ALDS (3-0),836,734,"3,375,677",28.9,29,38,16,V.Guerrero (5.6),M.Scioscia (92-70)
2003,Los Angeles Angels,AL West,162,77,85,0,0.475,0.496,3rd of 4,19,,736,743,"3,061,094",29.1,29,43,19,G.Anderson (4.0),M.Scioscia (77-85)
2002,Los Angeles Angels,AL West,162,99,63,0,0.611,0.625,2nd of 4,4,Won WS (4-3),851,644,"2,305,547",28.3,30.2,40,18,D.Erstad (6.3),M.Scioscia (99-63)
2001,Los Angeles Angels,AL West,162,75,87,0,0.463,0.475,3rd of 4,41,,691,730,"2,000,919",27.9,28.9,38,18,T.Glaus (5.2),M.Scioscia (75-87)
2000,Los Angeles Angels,AL West,162,82,80,0,0.506,0.497,3rd of 4,9.5,,864,869,"2,066,982",27.6,28.9,45,25,D.Erstad (8.3),M.Scioscia (82-80)
1999,Los Angeles Angels,AL West,162,70,92,0,0.432,0.432,4th of 4,25,,711,826,"2,253,123",28.6,31.5,45,20,R.Velarde (4.2),T.Collins (51-82) and J.Maddon (19-10)
1998,Los Angeles Angels,AL West,162,85,77,0,0.525,0.502,2nd of 4,3,,787,783,"2,519,280",28.7,29.8,45,19,C.Finley (7.1),T.Collins (85-77)
1997,Los Angeles Angels,AL West,162,84,78,0,0.519,0.52,2nd of 4,6,,829,794,"1,767,330",29.8,28.3,43,21,T.Salmon (5.0),T.Collins (84-78)
1996,Los Angeles Angels,AL West,161,70,91,0,0.435,0.404,4th of 4,19.5,,762,943,"1,820,521",29.3,29.1,52,30,J.Edmonds (5.0),"M.Lachemann (52-59), J.McNamara (10-18) and J.Maddon (8-14)"
1995,Los Angeles Angels,AL West,145,78,67,0,0.538,0.563,2nd of 4,1,,801,697,"1,748,680",28.8,30.7,45,20,T.Salmon (6.6),M.Lachemann (78-67)
1994,Los Angeles Angels,AL West,115,47,68,0,0.409,0.412,4th of 4,5.5,,543,660,"1,512,622",27.7,28.9,37,18,C.Finley (3.4),B.Rodgers (16-24) and M.Lachemann (31-44)
1993,Los Angeles Angels,AL West,162,71,91,0,0.438,0.446,5th of 7,23,,684,770,"2,057,460",27.2,28.8,46,24,M.Langston (8.5),B.Rodgers (71-91)
1992,Los Angeles Angels,AL West,162,72,90,0,0.444,0.433,5th of 7,24,,579,671,"2,065,444",28.1,28.8,41,16,J.Abbott (5.7),B.Rodgers (33-40) and J.Wathan (39-50)
1991,Los Angeles Angels,AL West,162,81,81,0,0.5,0.503,7th of 7,14,,653,649,"2,416,236",30.9,27.9,42,17,J.Abbott (7.6),D.Rader (61-63) and B.Rodgers (20-18)
1990,Los Angeles Angels,AL West,162,80,82,0,0.494,0.49,4th of 7,23,,690,706,"2,555,688",29.9,28.1,43,20,C.Finley (7.7),D.Rader (80-82)
1989,Los Angeles Angels,AL West,162,91,71,0,0.562,0.566,3rd of 7,8,,669,578,"2,647,291",29.8,29.1,37,15,B.Blyleven (6.0),D.Rader (91-71)
1988,Los Angeles Angels,AL West,162,75,87,0,0.463,0.465,4th of 7,29,,714,771,"2,340,925",29.6,27.4,44,19,D.Schofield (3.7),C.Rojas (75-79) and M.Stubing (0-8)
1987,Los Angeles Angels,AL West,162,75,87,0,0.463,0.481,6th of 7,10,,770,803,"2,696,299",29.3,30.8,37,16,D.White (5.6),G.Mauch (75-87)
1986,Los Angeles Angels,AL West,162,92,70,0,0.568,0.563,1st of 7,--,Lost ALCS (4-3),786,684,"2,655,872",31.8,30.3,38,19,M.Witt (6.1),G.Mauch (92-70)
1985,Los Angeles Angels,AL West,162,90,72,0,0.556,0.518,2nd of 7,1,,732,703,"2,567,427",32.3,28.3,41,19,G.Pettis (3.8),G.Mauch (90-72)
1984,Los Angeles Angels,AL West,162,81,81,0,0.5,0.499,2nd of 7,3,,696,697,"2,402,997",31.7,31,37,18,M.Witt (4.6),J.McNamara (81-81)
1983,Los Angeles Angels,AL West,162,70,92,0,0.432,0.465,5th of 7,29,,722,779,"2,555,016",31.4,32.5,39,16,B.Grich (4.3),J.McNamara (70-92)
1982,Los Angeles Angels,AL West,162,93,69,0,0.574,0.588,1st of 7,--,Lost ALCS (3-2),814,670,"2,807,360",32.4,31.8,37,17,D.DeCinces (7.6),G.Mauch (93-69)
1981,Los Angeles Angels,AL West,110,51,59,0,0.464,0.523,5th of 7,13.5,,476,453,"1,441,545",30.5,30,37,16,B.Grich (5.5),J.Fregosi (22-25) and G.Mauch (29-34)
1980,Los Angeles Angels,AL West,160,65,95,0,0.406,0.44,6th of 7,31,,698,797,"2,297,327",29.1,27,41,17,B.Grich (4.1),J.Fregosi (65-95)
1979,Los Angeles Angels,AL West,162,88,74,0,0.543,0.555,1st of 7,--,Lost ALCS (3-1),866,768,"2,523,575",28.4,27.5,39,15,B.Grich (6.0),J.Fregosi (88-74)
1978,Los Angeles Angels,AL West,162,87,75,0,0.537,0.517,2nd of 7,5,,691,666,"1,755,386",27.8,26.6,32,13,B.Grich (3.5),D.Garcia (25-21) and J.Fregosi (62-54)
1977,Los Angeles Angels,AL West,162,74,88,0,0.457,0.487,5th of 7,28,,675,695,"1,432,633",26.5,27.3,45,20,F.Tanana (8.3),N.Sherry (39-42) and D.Garcia (35-46)
1976,Los Angeles Angels,AL West,162,76,86,0,0.469,0.437,4th of 6,14,,550,631,"1,006,774",26.7,26.2,42,14,F.Tanana (7.5),D.Williams (39-57) and N.Sherry (37-29)
1975,Los Angeles Angels,AL West,161,72,89,0,0.447,0.436,6th of 6,25.5,,628,723,"1,058,163",25.6,26.3,48,19,F.Tanana (7.4),D.Williams (72-89)
1974,Los Angeles Angels,AL West,163,68,94,1,0.42,0.472,6th of 6,22,,618,657,"917,269",27.6,25.6,45,20,N.Ryan (5.9),"B.Winkles (30-44), W.Herzog (2-2) and D.Williams (36-48)"
1973,Los Angeles Angels,AL West,162,79,83,0,0.488,0.48,4th of 6,15,,629,657,"1,058,206",29.7,28.3,40,14,N.Ryan (7.7),B.Winkles (79-83)
1972,Los Angeles Angels,AL West,155,75,80,0,0.484,0.427,5th of 6,18,,454,533,"744,190",29.1,27.5,40,16,N.Ryan (6.3),D.Rice (75-80)
1971,Los Angeles Angels,AL West,162,76,86,0,0.469,0.445,4th of 6,25.5,,511,576,"926,373",27.7,26.4,36,14,S.Alomar (5.2),L.Phillips (76-86)
1970,Los Angeles Angels,AL West,162,86,76,0,0.531,0.501,3rd of 6,12,,631,630,"1,077,741",26.6,26,40,16,J.Fregosi (7.7),L.Phillips (86-76)
1969,Los Angeles Angels,AL West,163,71,91,1,0.438,0.405,3rd of 6,26,,528,652,"758,388",26.1,26.6,45,19,A.Messersmith (5.6),B.Rigney (11-28) and L.Phillips (60-63)
1968,Los Angeles Angels,AL,162,67,95,0,0.414,0.405,8th of 10,36,,498,615,"1,025,956",27.3,26.7,43,19,R.Reichardt (4.7),B.Rigney (67-95)
1967,Los Angeles Angels,AL,161,84,77,0,0.522,0.484,5th of 10,7.5,,567,587,"1,317,713",27.1,28.1,44,19,J.Fregosi (5.4),B.Rigney (84-77)
1966,Los Angeles Angels,AL,162,80,82,0,0.494,0.471,6th of 10,18,,604,643,"1,400,321",26.3,27.9,40,17,J.Fregosi (5.6),B.Rigney (80-82)
1965,Los Angeles Angels,AL,162,75,87,0,0.463,0.465,7th of 10,27,,527,569,"566,727",26.4,25,42,16,J.Fregosi (5.3),B.Rigney (75-87)
1964,Los Angeles Angels,AL,162,82,80,0,0.506,0.494,5th of 10,17,,544,551,"760,439",27.3,26.3,41,19,D.Chance (8.7),B.Rigney (82-80)
1963,Los Angeles Angels,AL,161,70,91,0,0.435,0.454,9th of 10,34,,597,660,"821,015",27.5,28,37,18,A.Pearson (4.9),B.Rigney (70-91)
1962,Los Angeles Angels,AL,162,86,76,0,0.531,0.508,3rd of 10,10,,718,706,"1,144,063",27.7,27.3,43,18,D.Chance (3.5),B.Rigney (86-76)
1961,Los Angeles Angels,AL,162,70,91,1,0.435,0.476,8th of 10,38.5,,744,784,"603,510",28.2,27.5,46,19,K.McBride (4.2),B.Rigney (70-91)
,,,,,,,,,,,,,,,,,,,,
